section,case,value,check,note
T1,P24 log slope,1.009849,~1,g2_crit(Delta) from D(E-)=0 with bosonic mirror KK
T1,P24 linear slope,0.172591,>0,the coefficient depends on the supplied kernel normalisation; the near-linear exponent is a conditional property of this soft-edge toy model
T2,Delta=0.020 g2/gcrit=0.55,no subedge pole,below threshold,expected narrow/above-edge resonance branch
T2,Delta=0.020 g2/gcrit=1.25,omega_b=0.995147; gap=0.004853; Gamma_b=0.000e+00,Gamma_b=0,intrinsic protected line below edge
T2,Delta=0.020 g2/gcrit=2.00,omega_b=0.980610; gap=0.019390; Gamma_b=0.000e+00,Gamma_b=0,intrinsic protected line below edge
T3,shoulder offset -0.030,0.00000000,0 below; >0 above,ideal intrinsic continuum threshold
T3,shoulder offset -0.010,0.00000000,0 below; >0 above,ideal intrinsic continuum threshold
T3,shoulder offset +0.010,0.00253739,0 below; >0 above,ideal intrinsic continuum threshold
T3,shoulder offset +0.030,0.00754327,0 below; >0 above,ideal intrinsic continuum threshold
T4,resolution sigma=0.002,True,gap > 3 sigma,gap=0.019390; finite-resolution guard
T4,resolution sigma=0.006,True,gap > 3 sigma,gap=0.019390; finite-resolution guard
T4,resolution sigma=0.012,False,gap > 3 sigma,gap=0.019390; finite-resolution guard
T4,resolution sigma=0.025,False,gap > 3 sigma,gap=0.019390; finite-resolution guard
T5,external C12 exponent coordinate,0.000000,+0.0,golden-rule hierarchy after dividing J_W and occupation
T5,external C12 exponent velocity,2.000000,+2.0,golden-rule hierarchy after dividing J_W and occupation
T5,external C12 exponent inverse_odd,-2.000000,-2.0,golden-rule hierarchy after dividing J_W and occupation
T6,external P26 closure from width corner,C=0.370000; wc=3.400000; worstPhi=2.22e-16,machine/noiseless,not independent of P23/P24; included as M3 sanity check
G4,cross-channel r=0.63,True,True for admissible,"if false, scalar one-channel M3 interpretation is invalid"
G4,cross-channel r=1.20,False,True for admissible,"if false, scalar one-channel M3 interpretation is invalid"
