figure_id,panel_id,series_id,scientific_classification,semantic_role,source_or_formula,grid_or_domain,uncertainty_owner,visual_primitive,disposition,validity_gate,evidence_anchor,evidence_quality,verdict
fig:ect_architecture,all,programme_nodes_and_edges,diagram/no scientific polyline,status/dependency schematic,canonical programme topology,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,boxes and directed schematic edges,RETAIN; NOT DATA INTERPOLATION,Edges encode declared dependencies only.,LaTex/FIGURE_REGISTRY.csv:fig:ect_architecture | LaTex/ECT_preprint.tex:769 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py | LaTex/figures/r139/main_portrait/fig_ect_architecture_portrait_r139.pdf,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:liv_delay,main,constraint_band_and_CTA_line,diagram/no scientific polyline,external reference annotations,Fermi-LAT scale band and CTA guide,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,band and horizontal reference line,RETAIN AS DIRECTLY LABELLED REFERENCES,Not fit curves or ECT predictions.,LaTex/FIGURE_REGISTRY.csv:fig:liv_delay | LaTex/ECT_preprint.tex:2528 | LaTex/scripts/fig_liv_delay.py | LaTex/work/preprint/R127_VISUAL_COSMOLOGY_PES_COMPLETION_CANDIDATE_v1/components/font_readability_remediation_v1/assets/fig_liv_delay__reader_scale_r127.pdf,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:liv_delay,main,distance_family,exact_analytic_dense,conditional analytic benchmark,$\Delta t=\zeta_\gamma(E/M_{\rm Pl}c^2)(L/c)$ at declared $L$,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,dense analytic line family,RETAIN CONTINUOUS ANALYTIC CURVES,"Unit coefficient is a benchmark, not an ECT prediction.",LaTex/FIGURE_REGISTRY.csv:fig:liv_delay | LaTex/ECT_preprint.tex:2528 | LaTex/scripts/fig_liv_delay.py | LaTex/work/preprint/R127_VISUAL_COSMOLOGY_PES_COMPLETION_CANDIDATE_v1/components/font_readability_remediation_v1/assets/fig_liv_delay__reader_scale_r127.pdf,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:three_condensate_scales,a,energy_inventory_entries,sparse_nodes_unconnected,independent scale inventory,declared energy-dimension entries,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,unconnected markers,RETAIN UNCONNECTED,No common RG flow or interpolation.,LaTex/FIGURE_REGISTRY.csv:fig:three_condensate_scales | LaTex/ECT_preprint.tex:3976 | LaTex/scripts/render_fig_ect_vs_qm.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/p1_panel_work/scripts/build_r123_p1_panel_relayout.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/scripts/build_r123_recolored_singletons.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/scripts/build_r123_remaining_monochrome.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v2/components/targeted_readability_assets/build_targeted_readability_assets.py;LaTex/figures/source/svg/fig_ect_vs_qm.svg;LaTex/scripts/fig3_condensate_scales.py;LaTex/scripts/fig_two_level_ontology.gv;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/scripts/r123_palette.py;LaTex/scripts/r153_line_semantics/build_r153_line_semantics_successors.py | LaTex/figures/source/svg/fig_ect_vs_qm.svg,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:three_condensate_scales,b,HRC_matching_identity,exact_analytic_dense,conditional dimensional identity,declared HRC matching relation,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,analytic line plus declared matched point,RETAIN AS CONDITIONAL IDENTITY,No common GeV axis or physical scale derivation.,LaTex/FIGURE_REGISTRY.csv:fig:three_condensate_scales | LaTex/ECT_preprint.tex:3976 | LaTex/scripts/render_fig_ect_vs_qm.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/p1_panel_work/scripts/build_r123_p1_panel_relayout.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/scripts/build_r123_recolored_singletons.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/components/global_visual_remediation/scripts/build_r123_remaining_monochrome.py;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v2/components/targeted_readability_assets/build_targeted_readability_assets.py;LaTex/figures/source/svg/fig_ect_vs_qm.svg;LaTex/scripts/fig3_condensate_scales.py;LaTex/scripts/fig_two_level_ontology.gv;LaTex/work/preprint/R123_VISUAL_READABILITY_AND_RESTORATION_CANDIDATE_v1/scripts/r123_palette.py;LaTex/scripts/r153_line_semantics/build_r153_line_semantics_successors.py | LaTex/figures/source/svg/fig_ect_vs_qm.svg,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:species_beta5,main,species_benchmarks,diagram/no scientific polyline,categorical Level-C/Open benchmark,$\beta_5^{bench}=m_f/\phi_0$ supplied ratios,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,independent horizontal bars,RETAIN; BARS ARE NOT A CONNECTED SERIES,"Hand-selected benchmark, not a fitted microscopic law.",LaTex/FIGURE_REGISTRY.csv:fig:species_beta5 | LaTex/ECT_preprint.tex:7762 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py | LaTex/figures/r123/fig_species_beta5_r123.pdf,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:coupling_comparison,main,electron_and_proton_scale_markers,sparse_nodes_unconnected,schematic cross-category comparison,representative suppression coordinates,declared figure domain; no extrapolation beyond the named owner,none unless stated in caption/owner,independent labelled markers,RETAIN UNCONNECTED,Quantities are not identical force laws.,LaTex/FIGURE_REGISTRY.csv:fig:coupling_comparison | LaTex/ECT_preprint.tex:7935 | LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py | LaTex/figures/r123/fig_coupling_comparison_r123.pdf,REGISTRY_OWNER_CAPTION_AND_R153_SOURCE_AUDIT,PASS_SUPPORTED_NO_UNKNOWN
fig:neutrino_seesaw,fig_neutrino_seesaw_smooth_r154,$y_\nu=0.1$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py,500 source points; 500 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Level C/Open supplied benchmark; not an ECT prediction,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:neutrino_seesaw:$y_\nu=0.1$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:neutrino_seesaw,fig_neutrino_seesaw_smooth_r154,$y_\nu=1$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py,500 source points; 500 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Level C/Open supplied benchmark; not an ECT prediction,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:neutrino_seesaw:$y_\nu=1$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
fig:neutrino_seesaw,fig_neutrino_seesaw_smooth_r154,$y_\nu=10^{-3}$,exact_analytic_dense,analytic/dense/sparse model series as declared by R154 nonrotation QA,LaTex/work/preprint/R149_READER_LAYOUT_CANDIDATE_v1/remaining_figure_typography/scripts/build_r149_remaining_typography.py,500 source points; 500 rendered line points; 0 rendered markers,none; this is deterministic model/benchmark output,continuous line,USE_R154_CONTINUOUS_SUCCESSOR; DECORATIVE SAMPLE MARKERS REMOVED,Level C/Open supplied benchmark; not an ECT prediction,LaTex/work/preprint/R154_SMOOTH_CURVE_SEMANTICS_CANDIDATE_v1/nonrotation/R154_NONROTATION_SERIES_QA_v1.json:fig:neutrino_seesaw:$y_\nu=10^{-3}$,DIRECT_R154_NUMERIC_QA,PASS_SUPPORTED_NO_UNKNOWN
