block,item,requirement,status,found,patterns
S6,C8 canonical normalization,canonical C8 temp/spat kernels and reduced=4x dictionary present,MISSING,no,canonical J_temp ; historical-reduced\s*=\s*4x ; J_S/J_T\s*=\s*w\^2/c\^2
S6,C13' threshold protection,conditional 5-case threshold-protection theorem present,MISSING,no,P6-C13' ; 5-case ; Gamma\(omega_b\)\s*=\s*0
S6,bosonic KK mirror,R19 bosonic mirror/sum-rule correction present,MISSING,no,Z \+ int 2w rho_cont\s*=\s*1 ; 0\.99999 ; 1\.00000
S6,zeta0 pair convention,absolute record-normalization convention closed as zeta0 pair=2,MISSING,no,zeta_0 ; zeta_0\^pair\s*=\s*2 ; sigma_pair\s*=\s*2 sigma_face
S7,one-kernel triangle,fixed channel: dephasing/widths/shifts are projections of one positive kernel,MISSING,no,P6-S7 ; dephasing/widths/shifts ; ONE positive spectral kernel
S7,matrix-kernel guard,J_ab positivity and Cauchy-Schwarz detector present,MISSING,no,P6-G4 ; Matrix-kernel ; J_ab
S7,P26 over-closure,width corner reconstructs kernel and predicts other corners,MISSING,no,P6-P26 ; width corner ; ratios 1\.000000
M3,M3-1 P23/P24,two-protocol edge-plus-line/detuning protocol adopted,MISSING,no,M3-1 ; Two-protocol contrast ; P23/P24
M3,M3-2 P7'/P18,zero-mode detector protocol adopted,MISSING,no,P6-M3-2 ; Zero-mode detector ; Q_core
M3,M3-3 P11/P25,Airy/fingerprint composite protocol adopted,MISSING,no,P6-M3-3 ; Composite protocol ; Airy-squared
Correction,P11 kappa_b correction,stiffness convention correction and C9 scaling present,MISSING,no,P6-P11-corr ; kappa_b.*sigma_dec.*-1/3 ; L_z\^coh
Correction,G8 kappa/flexibility guard,same-symbol stiffness/flexibility guard present,MISSING,no,P6-G8 ; D_b\s*=\s*1/kappa_b
Milestone,M3 queue complete,all three M3 protocols adopted with operational guards,MISSING,no,M3 QUEUE COMPLETE ; structural phase \+ falsification protocols ; FULLY ASSEMBLED
Open,preprint transfer pending,freeze still requires Valera preprint-transfer decision,MISSING,no,preprint-transfer decision ; final consolidation/freeze
Open,deep opens separated,OP-GUT1/OP-Planck/S0 not collapsed into P6 closure,MISSING,no,OP-GUT1 ; OP-Planck ; S_0
Honesty,P11 honesty log,transcription error logged in honesty file,MISSING,no,TRANSCRIPTION error ; ell = \(2 kappa_b sigma\)
Summary,sentinel checks,0/16 required sentinels found,FREEZE_CANDIDATE_INCOMPLETE,no,ledger=MISSING; honesty=MISSING; latest_verif=MISSING
