node_id,reader_title,status_code,canonical_full_label,canonical_style,canonical_fillcolor,canonical_border_color
GE,Euclidean correlator,B,"Euclidean corr.
G_E(X, X′)
§5","rounded,filled,bold",#DDF2E9,#009E73
GN,Tensor match,B/O,"Conditional tensor-EFT normalisation
G_N^nat = (8π M_G²)^−1
after physical matching: G_N^SI = ℏ c^5/(8π (E_{M_G}[J])²)
E_{M_G} ≡ M_G|_{joule} (GeV→J)
owners Open · §5.4","rounded,filled,bold",#DDF2E9,#009E73
KG,KG equation,A,"Klein-Gordon
equation
§3.6","rounded,filled",#DCECF7,#0072B2
LIV,Cone-speed test,EXT,"Multi-messenger cone test
|c_GW/c_γ−1| ≲ 10^−15
external kill gate · §10","rounded,filled",#E8E8E8,#222222
MBAL,Balance owner,MISSING,"M_bal owner / matching bridge [Open]
codimension-3 worldline reduction is not a derived spatial string loop
4D profile, stability and common owner are missing · §5.6","rounded,filled,dashed",#FBE9C9,#D55E00
NLO,Orientation stiffness,O,"Candidate orientation stiffness
separate operator / origin Open
κ_n → M_G² Open
§5.1","rounded,filled,dashed",#FBE9C9,#E69F00
P1,"P1: 4D
Euclidean",P,"P1
4D Euclidean
§2","rounded,filled",#222222,#222222
P2,P2: O(4) action,P,"P2
O(4) action
§2","rounded,filled",#222222,#222222
P3,P3: scalar dynamics,P,"P3
Condensate Φ
§2","rounded,filled",#222222,#222222
P4,P4 nonzero chart,P,"P4
Supplied nonzero-vector
chart
§2","rounded,filled",#222222,#222222
P5,P5: medium character,P,"P5
Medium character /
gauge-completion programme
§2","rounded,filled",#222222,#222222
P6,"P6: many
configs",P,"P6
Non-uniform
ordering
§2","rounded,filled",#222222,#222222
PX,Scalar P(X) seed,A/B,"Homogeneous scalar P(X) seed
no independent transverse stiffness
A-math conditional · §3","rounded,filled",#DCECF7,#0072B2
Ph1,Clock / EM,O,"Ph1
c_char ↔ c
Open clock / photon matching
§4.8","rounded,filled",#E8E8E8,#222222
Ph2,Planck match,EXT,"Ph2
M_G = M̄_Pl (obs.)
§5.4","rounded,filled",#E8E8E8,#222222
S0,Action-unit slot,B/O,"Operational action-unit slot S_0
input to conditional wave / canonical / PES formulae
map from either loop candidate Open · §5.6","rounded,filled,dashed",#FBE9C9,#E69F00
S0BAL,Balanced action unit,B/O,"Conditional definition S₀,bal^eff := √(2K_θ^(1D)T_loop)
multiwinding is linear / marginal; this is not operational S₀
shape, splitting, unwinding, barrier, bending and subtraction remain Open · §5.6","rounded,filled,dashed",#FBE9C9,#E69F00
S0EFT,Fixed-core candidate,A/O,"Fixed-core phase-only candidate S_0^EFT
A mathematics in supplied 1D core
4D reduction / nonzero value Open · §5.6","rounded,filled,dashed",#FBE9C9,#E69F00
S0HBAR,Empirical S0 match,B/O,"Explicit empirical calibration S_0 = ℏ [Level B]
candidate-to-operational owner map Open
absolute derivation / universality Open · §5.6","rounded,filled,bold,dashed",#DDF2E9,#009E73
SSB,O(3) stabiliser,A/O,"Supplied-vector stabiliser
O(4)→O(3) [A-math conditional]
physical state / spontaneous selection OPEN · §3","rounded,filled",#DCECF7,#0072B2
SU3,SU(3)c completion,O,"SU(3)_c [OPEN]
dim su(3)=8 > 6=dim so(4)
requires extended structure","rounded,filled,dashed",#FBE9C9,#E69F00
T1MIN,T1 length minimum,A,"Unique length minimum [A in supplied T1 only]
L_*=π|n|√(2K_θ/T_loop); S_n,min=2π|n|√(2K_θT_loop)
n=0 has no finite interior minimum · §5.6","rounded,filled",#DCECF7,#0072B2
T1MODEL,Supplied T1 loop,B/O,"Supplied T1 one-dimensional loop model [B/Input]
compact θ on supplied closed carrier; K_θ^(1D), T_loop > 0
n ≠ 0, L > 0; carrier and 4D action owner Open · §5.6","rounded,filled,bold",#DDF2E9,#009E73
UC,χ coordinate,A,"Strict-map integrability
one longitudinal χ coordinate
conditional kinematics [Level A] · §4.3","rounded,filled",#DCECF7,#0072B2
anomaly_arch,Anomaly checks,B,"Anomaly consistency §9.5
checks only after supplied
representations","rounded,filled,bold,dashed",#DDF2E9,#009E73
boson_hier,Boson inventory,B,"Conditional boson inventory
completion targets only
§Discussion","rounded,filled,bold,dashed",#DDF2E9,#009E73
common_origin,Common route,O,"Common-medium architecture
physical completions Open
§Discussion","rounded,filled,dashed",#FBE9C9,#E69F00
cpt_arch,Discrete symmetries,A/B/O,"Discrete-symmetry programme §9.4
Euclidean reflections exact;
physical P/T/CPT Open","rounded,filled,bold,dashed",#DDF2E9,#009E73
cpt_open,CPT/anomaly,O,"Discrete-symmetry · Anomaly · Flavour opens
OP-CPT1 · full nonlinear CPT
OP-P1 · exact max parity
OP-BRANCH1 · branch-pair cosmology
OP-GUT6c · mixed U(1)-grav (emergent)
OP-Yukawa · CKM/PMNS/CP phases/ν spectrum","rounded,filled,dashed",#FBE9C9,#E69F00
cstar,Scalar cone slope,A/O,"ĉ* = √(β/(α−β))
supplied-operator slope [Level A conditional]
physical c_char / cross-sector matching Open · §5.3","rounded,filled",#DCECF7,#0072B2
dirac,Spinor / Dirac,B/O,"Supplied spinor / Dirac
conditional standard form
physical fermions Open · §9","rounded,filled,bold",#DDF2E9,#009E73
einstein,Einstein target,B,"Linear Einstein target
supplied tensor completion
§6","rounded,filled,bold",#DDF2E9,#009E73
fifth,Director operator,B/O,"Allowed director operator
μ₅ψ̄γ^An_Aψ
coefficient / observable Open · §7.6","rounded,filled,bold",#DDF2E9,#009E73
flavour_arch,Flavour programme,O,"Flavour programme §9.7
overlap / seesaw ansätze supplied;
CKM / PMNS hierarchy Open","rounded,filled,dashed",#FBE9C9,#E69F00
gauge,Gauge completion,A/B/O,"Gauge-completion programme
global phase algebra exact;
local bundles / photon / charges Open
§7","rounded,filled,bold",#DDF2E9,#009E73
goldstone,One-mode EFT,B/O,"Physical one-mode EFT [Level B/Open]
requires supplied reduced action / domain / projector
§4","rounded,filled,bold,dashed",#DDF2E9,#009E73
lorentz,Scalar operator,A/O,"Supplied scalar principal operator
one cone [Level A conditional]
physical c_char / cross-sector cones Open · §3.6","rounded,filled",#DCECF7,#0072B2
neutrino,Neutrino programme,O,"Neutrino model-building §8.8
seesaw operator / states supplied
geometric combinations are anchors only
masses / PMNS / Majorana status Open","rounded,filled,dashed",#FBE9C9,#E69F00
parity,Vector stabiliser,A/O,"Vector stabiliser = SU(2)_diag
selects neither chiral factor
physical weak bundle / chirality Open · §9","rounded,filled",#DCECF7,#0072B2
schrodinger,Schrodinger envelope,B/O,"Schrödinger-type envelope
conditional state / operational S_0 map
physical owner Open · QS","rounded,filled,bold",#DDF2E9,#009E73
second_law,Second-law target,O,"ECT thermodynamic
second-law theorem Open
§3.9","rounded,filled,dashed",#FBE9C9,#E69F00
skyrmion,Texture sectors,A/O,"Texture sectors
π_3(S³) = ℤ labels
two-derivative E₂ ∝ R collapses
stabilising action/mass Open
§8","rounded,filled,dotted",#F5DDD7,#D55E00
threegen,Three generations,O,"3 generations
[OPEN]","rounded,filled,dashed",#FBE9C9,#E69F00
topo_anti,Supplied S3 target,A/O,"Supplied S³ target [A-math conditional]
π_0 = π_1 = π_2 = 0
topological classes only; physical defects / relic absence OPEN
secondary sectors separate · §8","rounded,filled",#DCECF7,#0072B2
unruh,Unruh/KMS target,A/O,"Standard Unruh/KMS target
A external; ECT state / detector Open
QS","rounded,filled",#E8E8E8,#222222
